OrderID,CustomerName,Gender,Category,SubCategory,City,OrderDate,Day,Region,Sales,Profit
OD71,Verma,Male,Eggs & Meat & Fish,Mutton,Kanyakumari,18.09.2017,Monday,East,994,358
OD72,Yusuf,Male,Snacks,Noodles,Kanyakumari,14.09.2018,Friday,Central,2468,1012
OD73,Alan,Male,Snacks,Cookies,Theni,26.04.2016,Tuesday,South,721,101
OD74,Vidya,Female,Fruits & Veggies,Organic Vegetables,Vellore,26.04.2016,Tuesday,South,2375,475
OD75,Arvind,Male,Beverages,Soft Drinks,Vellore,26.04.2016,Tuesday,South,1965,118
OD76,Veronica,Female,Beverages,Soft Drinks,Bodi,12.09.2018,Wednesday,Central,1489,194
OD77,Arvind,Male,Fruits & Veggies,Organic Fruits,Ooty,12.09.2018,Wednesday,Central,1250,75
OD78,Anu,Female,Snacks,Noodles,Coimbatore,12.09.2018,Wednesday,Central,1358,489
OD79,Haseena,Female,Snacks,Cookies,Vellore,26.11.2015,Thursday,Central,719,65
OD80,Veena,Female,Fruits & Veggies,Organic Fruits,Chennai,6.12.2017,Wednesday,South,2303,622
OD81,Kumar,Male,Beverages,Health Drinks,Kanyakumari,6.12.2017,Wednesday,South,2027,912
OD82,Amy,Female,Food Grains,Atta & Flour,Bodi,10.12.2015,Thursday,West,1739,765
OD83,Komal,Female,Oil & Masala,Spices,Cumbum,10.12.2015,Thursday,West,990,228
OD84,Ravi,Male,Beverages,Soft Drinks,Dharmapuri,9.03.2016,Wednesday,South,2354,683
OD85,Amy,Female,Fruits & Veggies,Organic Fruits,Bodi,13.11.2018,Tuesday,Central,1044,345
OD86,Willams,Male,Oil & Masala,Spices,Dindigul,28.05.2018,Monday,South,2129,660
OD87,Sharon,Female,Food Grains,Rice,Theni,26.10.2018,Friday,Central,1759,616
OD88,Ramesh,Male,Eggs & Meat & Fish,Eggs,Viluppuram,26.10.2018,Friday,Central,1663,665
OD89,Sheeba,Female,Bakery,Breads & Buns,Perambalur,4.05.2017,Thursday,Central,2111,190
OD90,Krithika,Female,Food Grains,Dals & Pulses,Madurai,17.09.2017,Sunday,West,1878,451
OD91,Willams,Male,Eggs & Meat & Fish,Chicken,Ooty,17.09.2017,Sunday,West,769,46
OD92,Roshan,Male,Beverages,Health Drinks,Virudhunagar,17.09.2017,Sunday,West,1241,410
OD93,Ravi,Male,Food Grains,Atta & Flour,Madurai,31.01.2016,Sunday,Central,2128,383
OD94,Ram,Male,Fruits & Veggies,Fresh Fruits,Namakkal,31.01.2016,Sunday,Central,2257,271
OD95,Mathew,Male,Snacks,Chocolates,Bodi,31.01.2016,Sunday,Central,1285,218
OD96,Veena,Female,Eggs & Meat & Fish,Fish,Virudhunagar,11.06.2018,Monday,West,1230,443
OD97,Sudha,Female,Food Grains,Atta & Flour,Ooty,11.09.2018,Tuesday,East,1856,724
OD98,Sharon,Female,Fruits & Veggies,Fresh Fruits,Trichy,17.06.2018,Sunday,West,545,125
OD99,Vince,Male,Snacks,Chocolates,Dharmapuri,9.06.2017,Friday,Central,2301,391
OD100,Krithika,Female,Oil & Masala,Spices,Chennai,29.08.2017,Tuesday,Central,1475,531
OD101,Adavan,Male,Bakery,Cakes,Coimbatore,29.08.2017,Tuesday,Central,2118,911
OD102,Roshan,Male,Beverages,Soft Drinks,Coimbatore,29.08.2017,Tuesday,Central,1527,672
OD103,Vinne,Male,Snacks,Chocolates,Nagercoil,12.01.2017,Thursday,Central,567,176
OD104,Amy,Female,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,13.11.2016,Sunday,West,969,184
OD105,Suresh,Male,Food Grains,Dals & Pulses,Karur,13.11.2016,Sunday,West,2300,1035
OD106,Komal,Female,Oil & Masala,Masalas,Kanyakumari,13.11.2016,Sunday,West,1575,79
OD107,Sundar,Male,Beverages,Health Drinks,Cumbum,23.11.2016,Wednesday,South,540,108
OD108,Willams,Male,Snacks,Cookies,Tirunelveli,23.11.2016,Wednesday,South,536,177
OD109,Vidya,Female,Eggs & Meat & Fish,Eggs,Tirunelveli,23.11.2016,Wednesday,South,556,156
OD110,Shree,Female,Fruits & Veggies,Fresh Fruits,Coimbatore,15.10.2016,Saturday,Central,1179,271
OD111,Sundar,Male,Food Grains,Dals & Pulses,Namakkal,25.12.2018,Tuesday,East,1487,506
OD112,Arvind,Male,Bakery,Breads & Buns,Pudukottai,11.03.2017,Saturday,Central,2220,111
OD113,Ravi,Male,Oil & Masala,Edible Oil & Ghee,Dindigul,11.03.2017,Saturday,Central,2155,582
OD114,Vinne,Male,Fruits & Veggies,Fresh Vegetables,Krishnagiri,25.08.2015,Tuesday,East,1154,69
OD115,Muneer,Male,Snacks,Noodles,Salem,25.08.2015,Tuesday,East,2420,242
OD116,Rumaiza,Female,Snacks,Chocolates,Karur,25.08.2015,Tuesday,East,1305,287
OD117,Hussain,Male,Fruits & Veggies,Organic Fruits,Bodi,25.08.2015,Tuesday,East,927,158
OD118,Arvind,Male,Fruits & Veggies,Organic Vegetables,Viluppuram,3.02.2016,Wednesday,West,983,187
OD119,Akash,Male,Food Grains,Rice,Chennai,4.05.2016,Wednesday,South,903,90
OD120,Ganesh,Male,Eggs & Meat & Fish,Chicken,Cumbum,6.12.2017,Wednesday,East,1235,74
OD121,Alan,Male,Fruits & Veggies,Organic Vegetables,Tirunelveli,6.12.2017,Wednesday,East,1243,174
OD122,Harish,Male,Bakery,Cakes,Krishnagiri,6.12.2017,Wednesday,East,649,201
OD123,Veronica,Female,Eggs & Meat & Fish,Mutton,Tenkasi,6.12.2017,Wednesday,East,2354,188
OD124,Anu,Female,Beverages,Soft Drinks,Cumbum,6.12.2017,Wednesday,East,1443,188
OD125,Sudeep,Male,Bakery,Breads & Buns,Madurai,26.12.2015,Saturday,Central,975,390
OD126,Yusuf,Male,Fruits & Veggies,Organic Vegetables,Virudhunagar,20.09.2015,Sunday,Central,889,71
OD127,Shah,Male,Eggs & Meat & Fish,Mutton,Karur,11.05.2018,Friday,West,2352,870
OD128,Harish,Male,Oil & Masala,Spices,Tirunelveli,11.05.2018,Friday,West,1293,336
OD129,Sharon,Female,Food Grains,Rice,Bodi,11.06.2017,Sunday,West,1458,598
OD130,Peer,Male,Food Grains,Atta & Flour,Coimbatore,11.06.2017,Sunday,West,1801,126
OD131,Haseena,Female,Snacks,Chocolates,Tenkasi,2.02.2018,Friday,East,1261,416
OD132,Sundar,Male,Beverages,Soft Drinks,Nagercoil,2.02.2018,Friday,East,2112,106
OD133,Ram,Male,Eggs & Meat & Fish,Fish,Ramanadhapuram,2.02.2018,Friday,East,640,141
OD134,Shah,Male,Bakery,Cakes,Tenkasi,13.01.1900,Friday,West,1658,315
OD135,Harish,Male,Beverages,Health Drinks,Ramanadhapuram,13.01.1900,Friday,West,2373,664
OD136,Veena,Female,Fruits & Veggies,Organic Fruits,Cumbum,13.01.1900,Friday,West,1430,515
OD137,Sundar,Male,Oil & Masala,Spices,Viluppuram,13.01.1900,Friday,West,1873,674
OD138,Jackson,Male,Eggs & Meat & Fish,Eggs,Theni,13.01.1900,Friday,West,867,329
OD139,Malik,Male,Snacks,Noodles,Theni,13.01.1900,Friday,West,1101,484
OD140,Hussain,Male,Eggs & Meat & Fish,Mutton,Ooty,13.01.1900,Friday,West,1088,424
OD141,Veena,Female,Bakery,Biscuits,Perambalur,9.05.2017,Tuesday,East,866,381
OD142,Aditi,Female,Oil & Masala,Masalas,Tirunelveli,18.09.2018,Tuesday,West,2483,223
OD143,Surya,Male,Food Grains,Atta & Flour,Kanyakumari,18.09.2018,Tuesday,West,1335,294
OD144,Sharon,Female,Eggs & Meat & Fish,Fish,Tenkasi,18.09.2018,Tuesday,West,765,252
OD145,Vinne,Male,Eggs & Meat & Fish,Mutton,Tenkasi,22.12.2018,Saturday,Central,2403,625
OD146,Malik,Male,Oil & Masala,Edible Oil & Ghee,Coimbatore,9.07.2016,Saturday,West,1551,574
OD147,Ridhesh,Male,Food Grains,Organic Staples,Theni,22.10.2015,Thursday,East,1564,188
OD148,Harish,Male,Fruits & Veggies,Fresh Vegetables,Tirunelveli,12.05.2017,Friday,Central,1125,293
OD149,Veronica,Female,Beverages,Health Drinks,Tenkasi,12.05.2017,Friday,Central,768,184
OD150,Ravi,Male,Eggs & Meat & Fish,Fish,Vellore,12.05.2017,Friday,Central,1985,734
OD151,Muneer,Male,Food Grains,Rice,Bodi,12.05.2017,Friday,Central,2287,1029
OD152,Jackson,Male,Snacks,Chocolates,Pudukottai,13.03.2017,Monday,West,1016,335
OD153,Amy,Female,Snacks,Cookies,Namakkal,13.03.2017,Monday,West,852,77
OD154,Ram,Male,Food Grains,Organic Staples,Ramanadhapuram,31.05.2016,Tuesday,West,1233,234
OD155,Jonas,Male,Snacks,Noodles,Pudukottai,31.05.2016,Tuesday,West,2236,626
OD156,Ramesh,Male,Fruits & Veggies,Fresh Vegetables,Viluppuram,31.05.2016,Tuesday,West,2188,810
OD157,Peer,Male,Snacks,Cookies,Coimbatore,31.05.2016,Tuesday,West,1114,457
OD158,Komal,Female,Oil & Masala,Edible Oil & Ghee,Salem,3.01.2015,Saturday,West,1774,621
OD159,Amy,Female,Beverages,Soft Drinks,Karur,20.11.2017,Monday,Central,2364,1040
OD160,Amrish,Male,Food Grains,Dals & Pulses,Madurai,20.11.2017,Monday,Central,1487,149
OD161,Yadav,Male,Beverages,Soft Drinks,Ooty,5.11.2017,Sunday,West,713,193
OD162,Vinne,Male,Eggs & Meat & Fish,Fish,Kanyakumari,28.12.2016,Wednesday,East,737,280
OD163,Amrish,Male,Snacks,Chocolates,Trichy,16.11.2017,Thursday,West,1004,341
OD164,Hussain,Male,Snacks,Cookies,Theni,11.07.2017,Tuesday,West,1516,121
OD165,Haseena,Female,Food Grains,Atta & Flour,Ramanadhapuram,9.08.2015,Sunday,Central,1442,606
OD166,Sudha,Female,Beverages,Health Drinks,Madurai,9.08.2015,Sunday,Central,1690,423
OD167,Adavan,Male,Snacks,Chocolates,Bodi,9.08.2015,Sunday,Central,2021,344
OD168,Aditi,Female,Eggs & Meat & Fish,Mutton,Ooty,9.08.2015,Sunday,Central,2340,491
OD169,Krithika,Female,Oil & Masala,Spices,Viluppuram,9.08.2015,Sunday,Central,705,176
OD170,Sharon,Female,Eggs & Meat & Fish,Chicken,Trichy,9.08.2015,Sunday,Central,1215,61
OD171,Akash,Male,Food Grains,Dals & Pulses,Krishnagiri,9.08.2015,Sunday,Central,552,237
OD172,Sabeela,Female,Beverages,Health Drinks,Tirunelveli,8.05.2015,Friday,West,1412,565
OD173,Surya,Male,Food Grains,Dals & Pulses,Tirunelveli,8.05.2015,Friday,West,791,150
OD174,Alan,Male,Fruits & Veggies,Organic Vegetables,Viluppuram,8.05.2015,Friday,West,2476,421
OD175,Aditi,Female,Fruits & Veggies,Fresh Vegetables,Karur,14.09.2015,Monday,Central,1747,472
OD176,Shah,Male,Fruits & Veggies,Organic Fruits,Pudukottai,14.09.2015,Monday,Central,1973,848
OD177,Mathew,Male,Oil & Masala,Spices,Krishnagiri,21.04.2018,Saturday,Central,2025,547
OD178,Rumaiza,Female,Snacks,Noodles,Vellore,21.11.2016,Monday,East,1016,224
OD179,Arvind,Male,Fruits & Veggies,Organic Fruits,Trichy,21.11.2016,Monday,East,689,55
OD180,Krithika,Female,Food Grains,Atta & Flour,Karur,15.12.2016,Thursday,East,1322,344
OD181,Arvind,Male,Snacks,Cookies,Bodi,12.05.2015,Tuesday,Central,1605,433
OD182,Ravi,Male,Beverages,Health Drinks,Namakkal,12.05.2015,Tuesday,Central,1718,172
OD183,Jonas,Male,Oil & Masala,Edible Oil & Ghee,Madurai,19.11.2015,Thursday,South,2177,784
OD184,Surya,Male,Food Grains,Organic Staples,Cumbum,19.11.2015,Thursday,South,578,237
OD185,Amrish,Male,Food Grains,Dals & Pulses,Dindigul,19.11.2015,Thursday,South,782,196
OD186,Shah,Male,Snacks,Noodles,Chennai,28.11.2017,Tuesday,East,1388,97
OD187,Krithika,Female,Bakery,Cakes,Cumbum,26.08.2015,Wednesday,West,2264,792
OD188,Anu,Female,Beverages,Soft Drinks,Pudukottai,16.07.2017,Sunday,Central,813,138
OD189,Yusuf,Male,Fruits & Veggies,Organic Fruits,Madurai,16.07.2017,Sunday,Central,2015,564
OD190,Rumaiza,Female,Beverages,Soft Drinks,Vellore,10.12.2016,Saturday,East,1433,473
OD191,Amrish,Male,Fruits & Veggies,Organic Fruits,Chennai,10.12.2016,Saturday,East,2093,335
OD192,Muneer,Male,Fruits & Veggies,Fresh Vegetables,Chennai,10.12.2016,Saturday,East,2149,623
OD193,Anu,Female,Beverages,Health Drinks,Dharmapuri,10.12.2016,Saturday,East,1972,414
OD194,Suresh,Male,Oil & Masala,Masalas,Dharmapuri,10.12.2016,Saturday,East,2060,433
OD195,Peer,Male,Eggs & Meat & Fish,Eggs,Tirunelveli,31.10.2016,Monday,West,1175,341
OD196,Sundar,Male,Oil & Masala,Edible Oil & Ghee,Theni,21.03.2015,Saturday,East,1006,191
OD197,Sudeep,Male,Bakery,Breads & Buns,Karur,21.03.2015,Saturday,East,1409,380
OD198,Verma,Male,Food Grains,Organic Staples,Pudukottai,11.06.2018,Monday,East,914,338
OD199,Surya,Male,Eggs & Meat & Fish,Mutton,Tirunelveli,7.06.2018,Thursday,East,1352,527
OD200,Sudha,Female,Eggs & Meat & Fish,Eggs,Trichy,7.06.2018,Thursday,East,682,171
OD201,James,Male,Food Grains,Organic Staples,Tirunelveli,24.06.2018,Sunday,East,1738,243
OD202,Vidya,Female,Bakery,Cakes,Salem,8.03.2015,Sunday,West,2421,484
OD203,Jackson,Male,Food Grains,Organic Staples,Ramanadhapuram,8.03.2015,Sunday,West,2245,404
OD204,Akash,Male,Oil & Masala,Masalas,Vellore,17.12.2018,Monday,Central,896,296
OD205,Ram,Male,Oil & Masala,Spices,Virudhunagar,6.03.2018,Tuesday,South,1033,186
OD206,Vinne,Male,Eggs & Meat & Fish,Mutton,Madurai,12.09.2018,Wednesday,West,1998,140
OD207,Verma,Male,Eggs & Meat & Fish,Chicken,Perambalur,12.01.2018,Friday,Central,1469,646
OD208,Haseena,Female,Eggs & Meat & Fish,Eggs,Ramanadhapuram,12.01.2018,Friday,Central,1899,361
OD209,Esther,Female,Eggs & Meat & Fish,Mutton,Pudukottai,12.01.2018,Friday,Central,2194,154
OD210,Amrish,Male,Beverages,Soft Drinks,Vellore,12.01.2018,Friday,Central,1942,505
OD211,Hafiz,Male,Fruits & Veggies,Organic Vegetables,Kanyakumari,12.01.2018,Friday,Central,609,207
OD212,Verma,Male,Eggs & Meat & Fish,Chicken,Trichy,2.09.2016,Friday,Central,2353,424
OD213,Peer,Male,Beverages,Soft Drinks,Salem,1.02.2016,Monday,East,1591,270
OD214,Arutra,Male,Food Grains,Rice,Krishnagiri,1.02.2016,Monday,East,1353,528
OD215,Jonas,Male,Beverages,Health Drinks,Namakkal,1.02.2016,Monday,East,1020,82
OD216,Harish,Male,Snacks,Noodles,Ramanadhapuram,1.02.2016,Monday,East,1362,177
OD217,Sundar,Male,Food Grains,Rice,Krishnagiri,1.02.2016,Monday,East,1733,433
OD218,Suresh,Male,Oil & Masala,Masalas,Tirunelveli,28.10.2017,Saturday,West,1949,97
OD219,Sabeela,Female,Fruits & Veggies,Organic Fruits,Virudhunagar,28.10.2017,Saturday,West,2368,876
OD220,Arvind,Male,Fruits & Veggies,Fresh Vegetables,Pudukottai,24.12.2016,Saturday,East,2110,485
OD221,Ramesh,Male,Food Grains,Dals & Pulses,Madurai,24.12.2016,Saturday,East,1940,795
OD222,Willams,Male,Eggs & Meat & Fish,Fish,Vellore,24.12.2016,Saturday,East,1557,638
OD223,Ramesh,Male,Eggs & Meat & Fish,Fish,Madurai,24.12.2016,Saturday,East,1443,274
OD224,Yadav,Male,Beverages,Soft Drinks,Perambalur,24.12.2016,Saturday,East,2024,911
OD225,Krithika,Female,Eggs & Meat & Fish,Chicken,Viluppuram,24.12.2016,Saturday,East,2168,564
OD226,Verma,Male,Eggs & Meat & Fish,Chicken,Tirunelveli,8.09.2016,Thursday,Central,621,174
OD227,Komal,Female,Food Grains,Organic Staples,Madurai,8.09.2016,Thursday,Central,1230,295
OD228,Harish,Male,Snacks,Cookies,Salem,8.09.2016,Thursday,Central,560,241
OD229,Sudha,Female,Oil & Masala,Edible Oil & Ghee,Tenkasi,28.02.2016,Sunday,South,1286,283
OD230,Ramesh,Male,Beverages,Health Drinks,Tenkasi,28.02.2016,Sunday,South,1242,149
OD231,Arvind,Male,Bakery,Breads & Buns,Krishnagiri,13.09.2015,Sunday,South,717,43
OD232,Komal,Female,Beverages,Soft Drinks,Namakkal,4.07.2018,Wednesday,South,1480,444
OD233,Komal,Female,Food Grains,Dals & Pulses,Salem,4.07.2018,Wednesday,South,826,248
OD234,Ramesh,Male,Snacks,Cookies,Ooty,4.07.2018,Wednesday,South,1846,277
OD235,Mathew,Male,Beverages,Soft Drinks,Viluppuram,4.07.2018,Wednesday,South,2045,552
OD236,Vince,Male,Fruits & Veggies,Organic Fruits,Nagercoil,4.07.2018,Wednesday,South,1983,773
OD237,Shah,Male,Bakery,Cakes,Bodi,11.12.2018,Tuesday,West,650,247
OD238,Ravi,Male,Bakery,Breads & Buns,Ramanadhapuram,6.04.2017,Thursday,Central,2163,216
OD239,Adavan,Male,Fruits & Veggies,Organic Vegetables,Bodi,6.04.2017,Thursday,Central,1481,518
OD240,Arvind,Male,Snacks,Cookies,Trichy,6.04.2017,Thursday,Central,2492,125
OD241,Ramesh,Male,Bakery,Cakes,Nagercoil,6.04.2017,Thursday,Central,962,423
OD242,Malik,Male,Beverages,Health Drinks,Coimbatore,6.04.2017,Thursday,Central,1432,215
OD243,Muneer,Male,Oil & Masala,Edible Oil & Ghee,Virudhunagar,6.04.2017,Thursday,Central,523,78
OD244,Amy,Female,Oil & Masala,Masalas,Chennai,6.04.2017,Thursday,Central,1540,647
OD245,Roshan,Male,Bakery,Biscuits,Coimbatore,6.01.2015,Tuesday,Central,817,327
OD246,Vinne,Male,Eggs & Meat & Fish,Fish,Kanyakumari,6.01.2015,Tuesday,Central,2462,369
OD247,Sudeep,Male,Fruits & Veggies,Organic Fruits,Perambalur,6.01.2015,Tuesday,Central,962,289
OD248,Ridhesh,Male,Beverages,Health Drinks,Cumbum,6.01.2015,Tuesday,Central,538,59
OD249,Ravi,Male,Snacks,Cookies,Ooty,6.01.2015,Tuesday,Central,1556,482
OD250,James,Male,Beverages,Health Drinks,Vellore,12.10.2017,Thursday,West,2133,960
OD251,Mathew,Male,Beverages,Health Drinks,Tirunelveli,9.11.2017,Thursday,West,1474,236
OD252,Amrish,Male,Beverages,Health Drinks,Dindigul,9.11.2017,Thursday,West,531,127
OD253,Ramesh,Male,Food Grains,Rice,Pudukottai,12.10.2017,Thursday,East,1769,637
OD254,Surya,Male,Fruits & Veggies,Organic Vegetables,Pudukottai,12.10.2017,Thursday,East,1257,63
OD255,Veronica,Female,Food Grains,Rice,Ramanadhapuram,28.11.2016,Monday,Central,1899,171
OD256,Harish,Male,Fruits & Veggies,Fresh Fruits,Tirunelveli,28.11.2016,Monday,Central,1929,617
OD257,Ravi,Male,Beverages,Soft Drinks,Ooty,28.11.2016,Monday,Central,2417,991
OD258,Sundar,Male,Eggs & Meat & Fish,Mutton,Chennai,28.11.2016,Monday,Central,1443,476
OD259,Esther,Female,Beverages,Soft Drinks,Dharmapuri,12.01.2018,Friday,East,660,290
OD260,Shree,Female,Bakery,Breads & Buns,Salem,12.01.2018,Friday,East,2114,359
OD261,Sabeela,Female,Oil & Masala,Masalas,Tenkasi,12.01.2018,Friday,East,1278,64
OD262,Ravi,Male,Food Grains,Organic Staples,Krishnagiri,6.08.2018,Monday,Central,867,217
OD263,Roshan,Male,Food Grains,Organic Staples,Kanyakumari,19.09.2015,Saturday,Central,943,151
OD264,Vince,Male,Beverages,Soft Drinks,Theni,19.09.2015,Saturday,Central,1836,275
OD265,Jonas,Male,Eggs & Meat & Fish,Fish,Cumbum,6.06.2017,Tuesday,Central,1200,420
OD266,Harish,Male,Fruits & Veggies,Organic Vegetables,Tirunelveli,11.10.2016,Tuesday,West,1167,257
OD267,Shah,Male,Eggs & Meat & Fish,Chicken,Perambalur,16.06.2018,Saturday,South,696,139
OD268,Arvind,Male,Oil & Masala,Masalas,Virudhunagar,22.01.2017,Sunday,East,2500,425
OD269,Adavan,Male,Bakery,Cakes,Dharmapuri,12.09.2018,Wednesday,East,1507,181
